gift_id,period_start,period_end,gift,recipient_first_name,recipient_last_name,recipient_title,value,department,lobbyist_id,lobbyist_firstname,lobbyist_lastname,created_date
6668,2019-01-01T00:00:00.000,2019-03-31T00:00:00.000,Meal,Ray,Lopez,Alderman,10.22,CITY COUNCIL / ALDERMEN,58500,David,Gross,2019-04-18T00:00:00.000
6667,2019-01-01T00:00:00.000,2019-03-31T00:00:00.000,Meal,Robert,Maldonado,Alderman,8.52,CITY COUNCIL / ALDERMEN,58500,David,Gross,2019-04-18T00:00:00.000
6665,2019-01-01T00:00:00.000,2019-03-31T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,PLANNING AND DEVELOPMENT,57435,Lewis,Powell,2019-04-17T00:00:00.000
6621,2019-01-01T00:00:00.000,2019-03-31T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,56381,Morgan,Bassey,2019-04-03T00:00:00.000
6603,2019-01-01T00:00:00.000,2019-03-31T00:00:00.000,None,Dan,Casey,Deputy Director,0,EMERGENCY MANAGEMENT & COMMUNICATIONS,56146,Ken,Lukowski,2019-04-01T00:00:00.000
6602,2019-01-01T00:00:00.000,2019-03-31T00:00:00.000,0,Lewis,Greenbaum,Attorney,0,FLEET & FACILITY MANAGEMENT,57036,Lewis,Greenbaum,2019-04-01T00:00:00.000
6601,2019-01-01T00:00:00.000,2019-03-31T00:00:00.000,None,None,None,None,0,BUILDINGS,56759,John,Suzuki,2019-04-01T00:00:00.000
6581,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,PLANNING AND DEVELOPMENT,51214,Lewis,Powell,2019-01-22T00:00:00.000
6561,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,n/a,Alderman,Osterman,Mr,0,BUILDINGS,51081,Mark,Heffron,2019-01-21T00:00:00.000
6524,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,Cookies,Kathleen,Dickhut,Deputy Commissioner,25,PLANNING AND DEVELOPMENT,52663,Stephen,Friedman,2019-01-16T00:00:00.000
6523,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,Cookies,Chip,Hastings,Deputy Commissioner,25,PLANNING AND DEVELOPMENT,52663,Stephen,Friedman,2019-01-16T00:00:00.000
6522,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,Cookies,David,Reifman,Comissioner of Planning & Dev,37,PLANNING AND DEVELOPMENT,52663,Stephen,Friedman,2019-01-16T00:00:00.000
6521,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,Cookies,Tim,Jeffries,Deputy Commissioner TIF Admin,25,PLANNING AND DEVELOPMENT,52663,Stephen,Friedman,2019-01-16T00:00:00.000
6501,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,lunch,Ashli,Nelson,Scheduling,16.64,MAYORS OFFICE,50294,William,Glunz,2019-01-14T00:00:00.000
6482,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,Meal,Rod,Sawyer,Alderman,22,CITY COUNCIL / ALDERMEN,50276,Richard,Erickson,2019-01-11T00:00:00.000
6481,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,Meal,Adam,Gypalo,Chief of Staff,16,CITY COUNCIL / ALDERMEN,50276,Richard,Erickson,2019-01-11T00:00:00.000
6462,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,None,None,None,None,0,BUILDINGS,50435,John,Suzuki,2019-01-09T00:00:00.000
6461,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,book,ED,BURKE,alderman,20,CITY COUNCIL / ALDERMEN,50434,William,Filan,2019-01-09T00:00:00.000
6441,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,0,Dan,Casey,Deputy Director,0,EMERGENCY MANAGEMENT & COMMUNICATIONS,51097,Ken,Lukowski,2019-01-04T00:00:00.000
6421,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,50327,Morgan,Bassey,2018-12-31T00:00:00.000
6403,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,0,Debra,Silverstein,Alderman,0,CITY COUNCIL / ALDERMEN,50303,Rob,Karr,2018-12-20T00:00:00.000
6402,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,0,Debra,Silverstein,Alderman,0,CITY COUNCIL / ALDERMEN,50303,Rob,Karr,2018-12-20T00:00:00.000
6401,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,0,Michele,Smith,Alderman,0,CITY COUNCIL / ALDERMEN,54081,Tanya,Triche - Dawood,2018-12-20T00:00:00.000
6341,2018-10-01T00:00:00.000,2018-12-31T00:00:00.000,na,na,NA,na,0,POLICE DEPARTMENT,55465,George,Unzueta,2018-11-19T00:00:00.000
6302,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,meal,Alvin,Rider,Staffer,21.95,CITY COUNCIL / ALDERMEN,50278,M. Elayne,Granger,2018-10-18T00:00:00.000
6301,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,meal,Brian,Freedman,Staffer,21.95,CITY COUNCIL / ALDERMEN,50278,M. Elayne,Granger,2018-10-18T00:00:00.000
6284,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,tie,James,Cappleman,Alderman,43,CITY COUNCIL / ALDERMEN,50514,Susan,Hayes Gordon,2018-10-17T00:00:00.000
6261,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,PLANNING AND DEVELOPMENT,51214,Lewis,Powell,2018-10-15T00:00:00.000
6242,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,meal,Roderick,Sawyer,Alderman,21.95,CITY COUNCIL / ALDERMEN,50278,M. Elayne,Granger,2018-10-12T00:00:00.000
6241,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,meal,Gregory,Mitchell,Alderman,21.95,CITY COUNCIL / ALDERMEN,50278,M. Elayne,Granger,2018-10-12T00:00:00.000
6226,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,meal,Raymond,Lopez,Alderman,26,CITY COUNCIL / ALDERMEN,50278,M. Elayne,Granger,2018-10-11T00:00:00.000
6225,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,meal,Michael,"Scott, Jr.",Alderman,26,CITY COUNCIL / ALDERMEN,50278,M. Elayne,Granger,2018-10-11T00:00:00.000
6224,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,meal,Walter,Burnett,Alderman,26,CITY COUNCIL / ALDERMEN,50278,M. Elayne,Granger,2018-10-11T00:00:00.000
6223,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,meal,Patrick,Thompson,Alderman,26,CITY COUNCIL / ALDERMEN,50278,M. Elayne,Granger,2018-10-11T00:00:00.000
6222,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,meal,Toni,Foulkes,Alderman,26,CITY COUNCIL / ALDERMEN,50278,M. Elayne,Granger,2018-10-11T00:00:00.000
6221,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,meal,Jason,Ervin,Alderman,26,CITY COUNCIL / ALDERMEN,50278,M. Elayne,Granger,2018-10-11T00:00:00.000
6204,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,meal,Emma,Mitts,Alderman,26,CITY COUNCIL / ALDERMEN,50259,Sylvia,Aldrete,2018-10-11T00:00:00.000
6201,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,50327,Morgan,Bassey,2018-10-10T00:00:00.000
6183,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,0,Jason,Ervin,Alderman,0,LEGISLATIVE COUNCIL & GOV'T AFFAIRS,54081,Tanya,Triche - Dawood,2018-10-09T00:00:00.000
6182,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,0,Maria,Guerra,LCGA,0,MAYORS OFFICE,50303,Rob,Karr,2018-10-09T00:00:00.000
6181,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,Bakery,N/A,N/A,42nd Ward,27.09,CITY COUNCIL / ALDERMEN,50934,Erin,Waitz,2018-10-09T00:00:00.000
6162,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,none,none,none,none,0,BUDGET AND MANAGEMENT,51157,John,Harris,2018-10-01T00:00:00.000
6161,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,0,None,None,None,0,BUILDINGS,50435,John,Suzuki,2018-10-01T00:00:00.000
6142,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,0,Casey,Dan,Deputy Director,0,EMERGENCY MANAGEMENT & COMMUNICATIONS,51097,Ken,Lukowski,2018-09-28T00:00:00.000
6141,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,Meal,Joe,Moore,Alderman,45,CITY COUNCIL / ALDERMEN,50451,Brian,Davis,2018-09-28T00:00:00.000
6121,2018-07-01T00:00:00.000,2018-09-30T00:00:00.000,0,Dan,Luna,Chief,0,CITY COUNCIL / ALDERMEN,51081,Mark,Heffron,2018-09-11T00:00:00.000
6541,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Book,Rod,Sawyer,Alderman,40,CITY COUNCIL / ALDERMEN,57203,Graham,Grady,2019-01-17T00:00:00.000
6381,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Fruit Pie,David,Seglin,Legislative & Policy Analyst,15,TRANSPORTATION,55761,G. A.,Finch,2018-11-29T00:00:00.000
6361,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Fruit Pie,David,Seglin,Legislative & Policy Analyst,15,TRANSPORTATION,55721,G. A.,Finch,2018-11-26T00:00:00.000
6321,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Fruit Pie,David,Seglin,Legislative & Policy Analyst,15,TRANSPORTATION,55606,G. A.,Finch,2018-11-14T00:00:00.000
6282,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Book,Rod,Sawyer,Alderman,40,CITY COUNCIL / ALDERMEN,55246,Graham,Grady,2018-10-16T00:00:00.000
6102,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Book,Rod,Sawyer,Alderman,40,CITY COUNCIL / ALDERMEN,54522,Graham,Grady,2018-08-24T00:00:00.000
6081,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Fruit Pie,David,Seglin,Legislative & Policy Analyst,15,TRANSPORTATION,52984,G. A.,Finch,2018-07-25T00:00:00.000
6061,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Book,Rod,Sawyer,Alderman,40,CITY COUNCIL / ALDERMEN,51471,Graham,Grady,2018-07-20T00:00:00.000
6023,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Lalo's,Grigas,Dan,CDOT/DEO,44.7,TRANSPORTATION,50933,Robert,Wilson,2018-07-18T00:00:00.000
6022,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Lalo's,Byron,Mona,CDOT/DEO,44.7,TRANSPORTATION,50933,Robert,Wilson,2018-07-18T00:00:00.000
6021,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Lalo's,Viglielmo,David,CDOT/DEO,44.7,TRANSPORTATION,50933,Robert,Wilson,2018-07-18T00:00:00.000
6003,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Food/Beverage,Greg,Mitchell,Alderman,42,CITY COUNCIL / ALDERMEN,52630,YaFawn,Smith,2018-07-17T00:00:00.000
6002,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Food/Beverage,Toni,Foulkes,Alderman,42,CITY COUNCIL / ALDERMEN,52630,YaFawn,Smith,2018-07-17T00:00:00.000
6001,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Food/Beverage,Debra,Silverstein,Alderman,42,CITY COUNCIL / ALDERMEN,52583,Jason,Lunderman,2018-07-17T00:00:00.000
5983,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Meal,Gilbert,Villagas,Alderman,16.25,CITY COUNCIL / ALDERMEN,50276,Richard,Erickson,2018-07-13T00:00:00.000
5982,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Meal,Danny,Solis,Alderman,16.25,CITY COUNCIL / ALDERMEN,50276,Richard,Erickson,2018-07-13T00:00:00.000
5981,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Meal,"Procco ""Joe""",Moreno,Alderman,36,CITY COUNCIL / ALDERMEN,50276,Richard,Erickson,2018-07-13T00:00:00.000
5963,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Conduent Branded Pen,John Paul,Jael,Program Director,10,FINANCE,50730,Holly,Cooper,2018-07-12T00:00:00.000
5962,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Conduent Branded Pen,Mary Jean,Pagnoni,Administrative Assistatn,10,TRANSPORTATION,50730,Holly,Cooper,2018-07-12T00:00:00.000
5961,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Conduent Branded Pen,Larry,McPhillips,Deputy Commissioner,10,TRANSPORTATION,50730,Holly,Cooper,2018-07-12T00:00:00.000
5941,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,None,None,None,None,0,BUILDINGS,50435,John,Suzuki,2018-07-11T00:00:00.000
5922,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,PLANNING AND DEVELOPMENT,51214,Lewis,Powell,2018-07-09T00:00:00.000
5921,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,N/A,N/A,N/A,N/A,0,HOUSING AND ECONOMIC DEVELOPMENT,50457,Gregory,Hummel,2018-07-09T00:00:00.000
5903,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Small Parking Meter Bank,Benjamin,Davidson,Proj. Admin.,25,FINANCE,50513,Mike,Ginter,2018-07-06T00:00:00.000
5902,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Small Parking Meter Bank,Eric,Colon,CIO,25,BUDGET AND MANAGEMENT,50513,Mike,Ginter,2018-07-06T00:00:00.000
5901,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,Small Parking Meter Bank,Beth,Beatty,Office of CFO,25,FINANCE,50513,Mike,Ginter,2018-07-06T00:00:00.000
5881,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,50327,Morgan,Bassey,2018-07-03T00:00:00.000
5862,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,0,Dan,Casey,Mr,0,EMERGENCY MANAGEMENT & COMMUNICATIONS,51097,Ken,Lukowski,2018-07-03T00:00:00.000
5841,2018-04-01T00:00:00.000,2018-06-30T00:00:00.000,None,Melia,Carter,Government Affairs,0,CITY COUNCIL / ALDERMEN,51237,Melia,Carter,2018-06-29T00:00:00.000
6542,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,Book,Edward,Burke,Alderman,40,CITY COUNCIL / ALDERMEN,57203,Graham,Grady,2019-01-17T00:00:00.000
6281,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,Book,Edward,Burke,Alderman,40,CITY COUNCIL / ALDERMEN,55246,Graham,Grady,2018-10-16T00:00:00.000
6101,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,Book,Edward,Burke,Alderman,40,CITY COUNCIL / ALDERMEN,54522,Graham,Grady,2018-08-24T00:00:00.000
5821,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,Ford book and a cap,Ed,Burke,Councilman,40,CITY COUNCIL / ALDERMEN,51164,Anthony,Reinhart,2018-04-25T00:00:00.000
5808,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,Food/Beverage,Walter,"Burnett, Jr.",Alderman,42.26,CITY COUNCIL / ALDERMEN,52583,Jason,Lunderman,2018-04-20T00:00:00.000
5807,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,Food/Beverage,Sophia,King,Alderman,44.42,CITY COUNCIL / ALDERMEN,52582,YaFawn,Smith,2018-04-20T00:00:00.000
5783,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,Book,Edward,Burke,Alderman,40,CITY COUNCIL / ALDERMEN,51471,Graham,Grady,2018-04-18T00:00:00.000
5781,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,HOUSING AND ECONOMIC DEVELOPMENT,51214,Lewis,Powell,2018-04-18T00:00:00.000
5743,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,Meal,Gilbert,Villagas,Alderman,16.26,CITY COUNCIL / ALDERMEN,50276,Richard,Erickson,2018-04-06T00:00:00.000
5742,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,Meal,Danny,Solis,Alderman,16.25,CITY COUNCIL / ALDERMEN,50276,Richard,Erickson,2018-04-06T00:00:00.000
5741,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,Meal,"Procco ""Joe""",Moreno,Alderman,36,CITY COUNCIL / ALDERMEN,50276,Richard,Erickson,2018-04-06T00:00:00.000
5721,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,50327,Morgan,Bassey,2018-04-06T00:00:00.000
5701,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,0,Jason,Ervin,Mr,0,CITY COUNCIL / ALDERMEN,51081,Mark,Heffron,2018-04-05T00:00:00.000
5681,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,None,None,None,None,0,BUILDINGS,50435,John,Suzuki,2018-04-05T00:00:00.000
5661,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,0,Thomas,Weaver,EVP,0,INNOVATION & TECHNOLOGY,51342,Thomas,Weaver,2018-04-03T00:00:00.000
5642,2018-01-01T00:00:00.000,2018-03-31T00:00:00.000,0,Dan,Casey,Deputy Director PSIT,0,EMERGENCY MANAGEMENT & COMMUNICATIONS,51097,Ken,Lukowski,2018-04-02T00:00:00.000
5601,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,None,None,None,None,0,CITY COLLEGES OF CHICAGO,51461,Wayne,Pierce,2018-02-15T00:00:00.000
5585,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,PLANNING AND DEVELOPMENT,51214,Lewis,Powell,2018-01-30T00:00:00.000
5584,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,HOUSING AND ECONOMIC DEVELOPMENT,51214,Lewis,Powell,2018-01-30T00:00:00.000
5583,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,HOUSING AND ECONOMIC DEVELOPMENT,51212,Lewis,Powell,2018-01-30T00:00:00.000
5582,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,PLANNING AND DEVELOPMENT,51212,Lewis,Powell,2018-01-30T00:00:00.000
5581,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,N/A,Jason,Ervin,Mr,0,CITY COUNCIL / ALDERMEN,51081,Mark,Heffron,2018-01-30T00:00:00.000
5563,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,PLANNING AND DEVELOPMENT,50707,Lewis,Powell,2018-01-29T00:00:00.000
5561,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,NA,Lewis W,"Powell, III",Attorney,0,HOUSING AND ECONOMIC DEVELOPMENT,50707,Lewis,Powell,2018-01-29T00:00:00.000
5542,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,n0,SUe,Garza,Alderman,0,CITY COUNCIL / ALDERMEN,49777,Carmen,Curet,2018-01-25T00:00:00.000
5541,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,n/a,Cory,Hohs,CEO,0,EMERGENCY MANAGEMENT & COMMUNICATIONS,39021,Cory,Hohs,2018-01-25T00:00:00.000
5522,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,None,Brandon,Riley,Alderman,0,CITY COUNCIL / ALDERMEN,47461,Michelle,Nakfoor,2018-01-22T00:00:00.000
5521,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,None,Brandon,Riley,Alderman,0,CITY COUNCIL / ALDERMEN,47461,Michelle,Nakfoor,2018-01-22T00:00:00.000
5519,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,Bakery,N/A,N/A,Permit Counter,6.47,TRANSPORTATION,47467,Robert,Wilson,2018-01-20T00:00:00.000
5518,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,Bakery,N/A,N/A,Permit Counter,12.81,TRANSPORTATION,47467,Robert,Wilson,2018-01-20T00:00:00.000
5517,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,Holiday bakery,N/A,N/A,Office of 4th Ward,43.95,CITY COUNCIL / ALDERMEN,47467,Robert,Wilson,2018-01-20T00:00:00.000
5516,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,Holiday bakery,N/A,N/A,Office of 42nd Ward,43.95,CITY COUNCIL / ALDERMEN,47467,Robert,Wilson,2018-01-20T00:00:00.000
5515,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,Holiday bakery,N/A,N/A,Office of Underground Coordination,43.95,TRANSPORTATION,47467,Robert,Wilson,2018-01-20T00:00:00.000
5514,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,Holiday bakery,N/A,N/A,Division of Infrastructure,43.95,TRANSPORTATION,47467,Robert,Wilson,2018-01-20T00:00:00.000
5512,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,Food and Beverage,Sophia,King,Alderman,25,CITY COUNCIL / ALDERMEN,47561,Jill,Szuchmacher,2018-01-19T00:00:00.000
5505,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,Donuts,N/A,N/A,42nd Ward Constituent Office,8,CITY COUNCIL / ALDERMEN,47466,Erin,Waitz,2018-01-19T00:00:00.000
5504,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,lapel pin,Ed,Burke,Alderman,13,CITY CLERK,49969,Robert,Greenebaum,2018-01-16T00:00:00.000
5503,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,Flowers,Sheila,Pacione,Director of Constituent Services and Infrastructure 43rd Ward,25.35,CITY COUNCIL / ALDERMEN,47465,Bridget,Sheehan,2018-01-15T00:00:00.000
5502,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,meal,Rod,Sawyer,Alderman,22,CITY COUNCIL / ALDERMEN,50276,Richard,Erickson,2018-01-15T00:00:00.000
5501,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,meal,Adam,Gypalo,Chief of Staff,16,CITY COUNCIL / ALDERMEN,50276,Richard,Erickson,2018-01-15T00:00:00.000
5481,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,N/A,LYNN,COX,VP,0,MAYORS OFFICE,46005,Lynn,Cox,2018-01-08T00:00:00.000
5464,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,n/a,n/a,n/a,n/a,0,CITY COUNCIL / ALDERMEN,50134,Rafael,Chapur Duarte,2018-01-05T00:00:00.000
5463,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,N/A,N/A,N/A,N/A,0,FINANCE,39007,Morgan,Bassey,2018-01-05T00:00:00.000
5462,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,0,George,Cardenas,Alderman,0,CITY COUNCIL / ALDERMEN,39028,Tanya,Triche,2018-01-04T00:00:00.000
5461,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,meal,Michelle,Harris,Alderman,42.08,CITY COUNCIL / ALDERMEN,39673,Marlow,Colvin,2018-01-04T00:00:00.000
5446,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,No,Michelle,Smith,Alderman,0,CITY COUNCIL / ALDERMEN,50296,Matthew,Fiascone,2018-01-03T00:00:00.000
5445,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,Breakfast,Victoria,Watkins,Senior Advisor,15.95,MAYORS OFFICE,43962,William,Glunz,2018-01-03T00:00:00.000
5444,2017-10-01T00:00:00.000,2017-12-31T00:00:00.000,N/A,N/A,N/A,N/A,0,CITY COUNCIL / ALDERMEN,50135,Roberto,Chapur Duarte,2018-01-03T00:00:00.000
